Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Age
Honda,351000,39276,Petrol,Manual,Mumbai,Red,First,Individual,1198,87,109,FWD,3610.0,1680.0,1500.0,5.0,35.0,11
Hyundai,551000,47752,Petrol,Manual,Mumbai,White,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,10
Honda,819999,27963,Petrol,Manual,Delhi,White,First,Individual,1199,89,110,FWD,3999.0,1734.0,1601.0,5.0,40.0,7
Hyundai,990000,24013,Petrol,Manual,Mumbai,Blue,First,Individual,998,118,172,FWD,3995.0,1770.0,1605.0,5.0,45.0,5
Hyundai,925000,66000,Diesel,Automatic,Raipur,Black,First,Individual,1582,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0,9
Ford,535000,28000,Petrol,Manual,Mumbai,Silver,First,Individual,999,124,170,FWD,3999.0,1765.0,1708.0,5.0,52.0,10
Hyundai,145000,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086,62,96,FWD,3565.0,1525.0,1590.0,5.0,35.0,16
Tata,409000,27069,Petrol,Manual,Mumbai,White,First,Individual,1199,84,114,FWD,3746.0,1647.0,1535.0,5.0,35.0,7
Tata,490000,43000,Diesel,Manual,Patna,White,First,Individual,1047,69,140,FWD,3992.0,1677.0,1537.0,5.0,35.0,7
Toyota,1900000,71000,Diesel,Manual,Mumbai,Bronze,First,Individual,2393,148,343,RWD,4735.0,1830.0,1795.0,8.0,55.0,6
Mercedes-Benz,3850000,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,2143,168,400,AWD,4656.0,1890.0,1639.0,5.0,66.0,8
Hyundai,1125000,60000,Diesel,Manual,Patna,White,First,Individual,1582,126,260,FWD,4270.0,1780.0,1665.0,5.0,55.0,7
Mercedes-Benz,2300000,105101,Diesel,Automatic,Vadodara,White,First,Individual,2143,203,500,AWD,4804.0,2141.0,1796.0,5.0,70.0,11
Toyota,1095000,45000,Petrol,Automatic,Mumbai,Black,First,Individual,1798,138,173,FWD,4620.0,1775.0,1475.0,5.0,55.0,9
Audi,1575000,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968,177,380,FWD,4701.0,1826.0,1427.0,5.0,63.0,12
Mercedes-Benz,2400000,34105,Petrol,Automatic,Mumbai,Grey,First,Individual,1796,165,240,RWD,4082.0,1777.0,1297.0,2.0,70.0,15
Hyundai,525000,68397,Petrol,Manual,Patna,Gold,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,10
Mahindra,625000,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,2498,105,247,AWD,3920.0,1726.0,1930.0,6.0,60.0,10
Maruti Suzuki,605000,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,6
Maruti Suzuki,412000,41058,Petrol,Automatic,Delhi,Silver,First,Individual,998,67,90,FWD,3600.0,1600.0,1560.0,5.0,35.0,9
Maruti Suzuki,625000,51330,Diesel,Manual,Mumbai,Brown,First,Individual,1248,89,200,FWD,4490.0,1730.0,1485.0,5.0,43.0,9
Maruti Suzuki,511000,45969,Petrol,Manual,Mumbai,Silver,First,Individual,1373,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0,10
Hyundai,1150000,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0,8
Hyundai,885000,57983,Petrol,Manual,Mumbai,White,First,Individual,1591,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0,9
Renault,470000,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999,67,91,FWD,3679.0,1579.0,1478.0,5.0,28.0,6
MG,1611000,46301,Diesel,Manual,Mumbai,White,First,Individual,1956,169,350,FWD,4655.0,1835.0,1760.0,5.0,60.0,6
Tata,475000,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199,84,114,FWD,3746.0,1647.0,1535.0,5.0,35.0,8
Toyota,865000,43634,Diesel,Manual,Delhi,Silver,First,Individual,2494,101,200,RWD,4585.0,1765.0,1760.0,7.0,55.0,10
BMW,3800000,9512,Diesel,Automatic,Mumbai,Blue,First,Corporate,1995,190,400,AWD,4657.0,1881.0,1678.0,5.0,67.0,7
Jeep,2475000,11293,Diesel,Automatic,Mumbai,White,First,Individual,1956,171,350,AWD,4395.0,1818.0,1640.0,5.0,60.0,5
Mahindra,400000,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179,120,290,RWD,4430.0,1817.0,1975.0,8.0,60.0,11
Honda,440000,50374,Petrol,Manual,Vadodara,White,First,Individual,1198,87,109,FWD,3610.0,1680.0,1500.0,5.0,35.0,9
BMW,2800000,15900,Petrol,Automatic,Delhi,White,First,Individual,1998,181,270,RWD,4633.0,1811.0,1429.0,5.0,57.0,8
Honda,645000,64000,Petrol,Manual,Mumbai,White,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,8
Volkswagen,365000,78000,Diesel,Manual,Jaipur,Silver,First,Individual,1199,74,180,FWD,3970.0,1682.0,1453.0,5.0,45.0,12
Maruti Suzuki,1044999,24000,Petrol,Manual,Mumbai,Silver,First,Individual,1462,103,138,FWD,3995.0,1790.0,1640.0,5.0,48.0,4
Maruti Suzuki,515000,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196,73,101,RWD,3675.0,1475.0,1800.0,7.0,40.0,6
Hyundai,455000,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0,10
BMW,1800000,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,1995,184,380,AWD,4648.0,1881.0,1661.0,5.0,67.0,13
Toyota,3499000,73000,Diesel,Automatic,Mumbai,White,First,Individual,2755,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0,6
Honda,190000,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799,130,171,FWD,4545.0,1750.0,1450.0,5.0,50.0,19
Maruti Suzuki,775000,24000,Petrol,Automatic,Agra,Grey,First,Individual,1197,89,113,FWD,3845.0,1735.0,1530.0,5.0,37.0,4
Hyundai,825000,43000,Diesel,Manual,Agra,White,First,Individual,1493,99,240,FWD,3995.0,1775.0,1505.0,5.0,37.0,4
Audi,2250000,40500,Diesel,Automatic,Goa,White,First,Individual,1968,141,320,FWD,4456.0,1796.0,1416.0,5.0,50.0,9
Honda,865000,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,8
Ford,299000,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399,68,160,FWD,3795.0,1680.0,1427.0,5.0,45.0,12
Honda,570000,92270,Petrol,Manual,Mumbai,Brown,First,Individual,1199,89,110,FWD,3955.0,1694.0,1544.0,5.0,40.0,8
Volkswagen,385000,65000,Petrol,Manual,Mumbai,White,First,Individual,1198,74,110,FWD,3970.0,1682.0,1453.0,5.0,45.0,12
Honda,350000,110000,Diesel,Manual,Warangal,Black,First,Individual,1498,99,200,FWD,3990.0,1680.0,1505.0,5.0,35.0,11
Toyota,2345000,47000,Petrol,Automatic,Delhi,Brown,First,Individual,2494,179,233,FWD,4825.0,1825.0,1480.0,5.0,70.0,8
Mahindra,1650000,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,1997,150,320,AWD,3985.0,1820.0,1844.0,4.0,57.0,3
Mercedes-Benz,1100000,51500,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143,207,500,RWD,4596.0,1770.0,1447.0,5.0,66.0,14
Audi,2900000,35000,Diesel,Automatic,Pune,White,First,Individual,1968,184,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,7
Maruti Suzuki,545000,61518,Petrol,Manual,Noida,Red,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,8
BMW,2990000,34000,Diesel,Automatic,Delhi,White,First,Corporate,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,7
Maruti Suzuki,615000,36058,Petrol,Manual,Mumbai,Silver,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,8
Hyundai,890000,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0,9
Volkswagen,430000,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0,10
Mercedes-Benz,1650000,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143,170,400,RWD,4596.0,1770.0,1447.0,5.0,66.0,12
Toyota,1599000,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,2494,202,270,FWD,4825.0,1825.0,1480.0,5.0,65.0,10
Maruti Suzuki,691000,16652,Petrol,Manual,Ahmedabad,White,First,Individual,1197,89,113,FWD,3995.0,1735.0,1515.0,5.0,37.0,6
Nissan,650000,76584,Diesel,Manual,Mumbai,White,First,Individual,1461,108,248,FWD,4331.0,1822.0,1671.0,5.0,50.0,9
Maruti Suzuki,415000,42500,CNG,Manual,Mumbai,Brown,First,Individual,998,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0,10
Maruti Suzuki,669000,70000,Diesel,Manual,Mohali,Grey,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,9
Porsche,16200000,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,2995,335,450,AWD,4931.0,1983.0,1676.0,4.0,75.0,3
Mercedes-Benz,5100000,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991,241,370,RWD,4686.0,1810.0,1409.0,4.0,59.0,8
Hyundai,525000,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,10
Hyundai,750000,16339,Petrol,Manual,Kolkata,Black,First,Individual,1591,121,158,FWD,4375.0,1700.0,1475.0,5.0,43.0,7
Honda,445000,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,1198,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0,9
Toyota,493000,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798,138,173,FWD,4540.0,1760.0,1480.0,5.0,55.0,13
Hyundai,611000,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,8
Hyundai,475000,61866,Petrol,Automatic,Thane,White,First,Individual,1197,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0,11
Hyundai,925000,29401,Petrol,Manual,Mumbai,Grey,First,Individual,1591,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0,8
Audi,1325000,98580,Diesel,Automatic,Goa,White,First,Individual,1968,177,380,FWD,4915.0,1874.0,1455.0,5.0,65.0,13
BMW,3900000,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,4
Mahindra,1299000,31348,Diesel,Manual,Bangalore,White,First,Individual,1497,115,300,FWD,3995.0,1821.0,1627.0,5.0,42.0,5
Maruti Suzuki,580000,28851,Diesel,Manual,Kolkata,Blue,First,Corporate,1248,74,190,FWD,3840.0,1735.0,1530.0,5.0,37.0,7
Mahindra,1575000,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997,150,300,AWD,3985.0,1820.0,1844.0,4.0,57.0,4
Honda,375000,78000,Petrol,Manual,Pune,Bronze,First,Individual,1497,118,146,FWD,4420.0,1695.0,1480.0,5.0,42.0,14
Mercedes-Benz,2250000,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143,204,500,RWD,4879.0,1854.0,1474.0,5.0,80.0,10
Toyota,1400000,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982,169,360,RWD,4705.0,1840.0,1850.0,7.0,80.0,11
Tata,425000,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248,74,190,FWD,3995.0,1706.0,1570.0,5.0,44.0,8
Skoda,425000,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598,104,153,FWD,4386.0,1699.0,1466.0,5.0,55.0,11
Maruti Suzuki,250000,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0,10
Maruti Suzuki,425000,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248,89,200,FWD,4265.0,1695.0,1685.0,7.0,45.0,13
Ford,235000,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399,68,160,FWD,3795.0,1680.0,1427.0,5.0,45.0,11
Audi,3050000,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968,141,320,FWD,4456.0,1796.0,1416.0,5.0,50.0,5
Tata,2145000,10290,Diesel,Manual,Bangalore,Red,First,Individual,1956,168,350,FWD,4598.0,1894.0,1706.0,5.0,50.0,5
Hyundai,1245000,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998,118,172,FWD,3995.0,1775.0,1505.0,5.0,37.0,4
Hyundai,549000,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,10
Volkswagen,484999,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199,74,180,FWD,3970.0,1682.0,1453.0,5.0,45.0,12
Maruti Suzuki,415000,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197,85,114,FWD,3995.0,1695.0,1555.0,5.0,42.0,11
Hyundai,200000,57000,CNG,Manual,Kanpur,White,First,Individual,1086,62,96,FWD,3565.0,1525.0,1590.0,5.0,35.0,12
Hyundai,375000,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,10
Hyundai,1875000,18000,Petrol,Automatic,Delhi,Black,First,Individual,1353,138,242,FWD,4300.0,1790.0,1635.0,5.0,50.0,3
Audi,2950000,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984,188,320,AWD,4318.0,1805.0,1548.0,5.0,55.0,5
Audi,4900000,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967,245,600,AWD,5052.0,1968.0,1740.0,7.0,75.0,7
Hyundai,1050000,16282,Petrol,Automatic,Pune,White,First,Individual,998,118,172,FWD,3995.0,1775.0,1505.0,5.0,37.0,5
Hyundai,470000,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582,126,260,FWD,4370.0,1700.0,1475.0,5.0,43.0,12
Maruti Suzuki,345000,72019,Petrol,Manual,Ranchi,Silver,Second,Individual,998,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0,8
Mahindra,550000,92170,Diesel,Manual,Ranchi,White,Second,Individual,2609,116,277,RWD,4495.0,1817.0,1975.0,7.0,60.0,18
Hyundai,484999,55221,Petrol,Manual,Mumbai,White,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,7
Toyota,3350000,25000,Diesel,Automatic,Noida,White,First,Individual,2755,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0,7
Audi,5651000,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,1984,248,370,AWD,4663.0,1898.0,1659.0,5.0,70.0,3
Renault,890000,23500,Petrol,Manual,Chennai,White,First,Individual,1498,105,142,FWD,4360.0,1822.0,1695.0,5.0,50.0,5
Maruti Suzuki,325000,68000,Petrol,Manual,Kanpur,White,Second,Individual,1197,85,114,FWD,3995.0,1695.0,1555.0,5.0,42.0,13
Hyundai,1390000,29096,Petrol,Automatic,Mumbai,White,First,Individual,1591,122,151,FWD,4270.0,1780.0,1665.0,5.0,55.0,6
Hyundai,459999,61223,Petrol,Manual,Kanpur,White,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,9
Jeep,1075000,86000,Diesel,Manual,Ludhiana,White,First,Individual,1956,171,350,FWD,4395.0,1818.0,1640.0,5.0,60.0,8
Hyundai,484999,87000,Diesel,Manual,Ludhiana,White,First,Individual,1582,126,260,FWD,4440.0,1729.0,1475.0,5.0,45.0,12
Hyundai,385000,79287,Petrol,Manual,Kanpur,White,First,Individual,1197,83,113,FWD,3995.0,1710.0,1505.0,5.0,45.0,12
Audi,3900000,48945,Diesel,Automatic,Goa,Black,First,Corporate,1968,190,400,FWD,4933.0,1874.0,1455.0,5.0,75.0,7
Mahindra,1050000,17000,Diesel,Manual,Lucknow,Green,First,Individual,1497,121,300,FWD,4585.0,1866.0,1774.0,8.0,45.0,6
Kia,1575000,55000,Diesel,Manual,Lucknow,Silver,First,Individual,1493,113,250,FWD,4315.0,1800.0,1645.0,5.0,50.0,6
Maruti Suzuki,655000,38779,Petrol,Manual,Mumbai,Blue,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,9
Mercedes-Benz,4500000,72000,Diesel,Automatic,Pune,White,First,Individual,1950,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0,6
Maruti Suzuki,865000,67000,Diesel,Manual,Navi Mumbai,White,First,Individual,1248,89,200,FWD,4296.0,1695.0,1685.0,7.0,45.0,9
Hyundai,699000,67000,Petrol,Manual,Navi Mumbai,White,First,Individual,1591,121,158,FWD,4370.0,1700.0,1475.0,5.0,43.0,8
Hyundai,425000,70000,Diesel,Manual,Jalandhar,White,Second,Individual,1582,126,260,FWD,4370.0,1700.0,1475.0,5.0,43.0,13
Land Rover,6500000,6000,Diesel,Automatic,Hyderabad,White,First,Individual,1999,177,430,AWD,4600.0,2069.0,1724.0,7.0,70.0,5
Toyota,2900000,46000,Diesel,Automatic,Delhi,White,First,Individual,2755,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0,8
Mercedes-Benz,4550000,34000,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,2143,201,500,AWD,4819.0,2141.0,1796.0,5.0,93.0,8
Hyundai,490000,23103,Petrol,Manual,Udupi,White,First,Individual,1197,81,114,FWD,3995.0,1660.0,1520.0,5.0,43.0,10
Mercedes-Benz,11500000,27000,Petrol,Automatic,Delhi,Blue,First,Individual,4663,453,700,RWD,5453.0,1899.0,1498.0,4.0,70.0,9
Hyundai,1475000,9576,Petrol,Automatic,Bangalore,White,First,Individual,1591,122,151,FWD,4270.0,1780.0,1665.0,5.0,55.0,6
MG,1764999,1942,Petrol,Automatic,Bangalore,Red,First,Individual,1498,108,144,FWD,4323.0,1809.0,1650.0,5.0,48.0,4
Honda,250000,119300,Petrol,Automatic,Pune,Black,Third,Individual,2354,152,215,AWD,4630.0,1780.0,1710.0,5.0,58.0,19
Maruti Suzuki,245000,55000,Petrol,Manual,Faridabad,White,First,Individual,796,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0,9
Renault,490000,98000,Diesel,Manual,Jamshedpur,White,Second,Individual,1461,84,200,FWD,4315.0,1822.0,1695.0,5.0,50.0,10
Hyundai,550000,61400,Petrol,Manual,Aurangabad,Grey,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,8
Honda,675000,87693,Petrol,Manual,Pune,Red,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,9
Mercedes-Benz,2225000,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1991,181,300,RWD,4686.0,1810.0,1442.0,5.0,66.0,10
Hyundai,560000,75210,Diesel,Manual,Ahmedabad,White,First,Individual,1396,89,220,FWD,3985.0,1734.0,1505.0,5.0,40.0,9
Skoda,225000,69000,Petrol,Manual,Mumbai,Silver,First,Individual,1598,105,153,FWD,4000.0,1642.0,1522.0,5.0,45.0,13
Skoda,499000,88000,Diesel,Automatic,Pune,Black,Second,Individual,1498,103,250,FWD,4386.0,1699.0,1466.0,5.0,55.0,11
Kia,1055000,15000,Petrol,Automatic,Kolkata,Gold,First,Individual,998,118,172,FWD,3995.0,1790.0,1647.0,5.0,45.0,5
Mahindra,2048999,45350,Diesel,Automatic,Bangalore,White,First,Individual,2179,153,360,FWD,4585.0,1890.0,1785.0,7.0,70.0,5
BMW,2775000,68189,Diesel,Automatic,Jaipur,Brown,First,Individual,1995,188,400,RWD,4633.0,1811.0,1429.0,5.0,57.0,7
Mercedes-Benz,1650000,75000,Diesel,Automatic,Faridabad,White,First,Individual,2143,134,300,FWD,4417.0,1804.0,1494.0,5.0,50.0,10
Audi,1450000,33000,Diesel,Automatic,Faridabad,Red,Second,Individual,1968,177,380,FWD,4915.0,1874.0,1455.0,5.0,65.0,11
Mahindra,600000,83000,Diesel,Manual,Rudrapur,White,Second,Individual,2179,120,290,RWD,4430.0,1817.0,1975.0,8.0,60.0,11
Toyota,1675000,211000,Diesel,Manual,Jaipur,White,First,Individual,2982,169,343,AWD,4705.0,1840.0,1850.0,7.0,80.0,11
Hyundai,575000,67000,Petrol,Manual,Hyderabad,White,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,10
Ford,699000,75000,Diesel,Manual,Mumbai,Grey,First,Individual,1498,99,205,FWD,3999.0,1765.0,1708.0,5.0,52.0,8
Audi,2450000,48600,Diesel,Automatic,Nashik,Blue,Second,Individual,2967,241,550,AWD,5089.0,1983.0,1737.0,6.0,100.0,11
Mercedes-Benz,2775000,48000,Diesel,Automatic,Delhi,Black,First,Individual,2143,204,500,RWD,4686.0,1810.0,1442.0,5.0,66.0,9
Maruti Suzuki,430000,5790,Petrol,Manual,Hyderabad,Silver,First,Individual,998,67,90,FWD,3565.0,1520.0,1564.0,5.0,27.0,5
Mahindra,1165000,32000,Diesel,Manual,Patna,White,First,Individual,2179,120,280,RWD,4456.0,1820.0,1995.0,7.0,60.0,7
MG,1780000,65433,Diesel,Manual,Lucknow,Black,First,Individual,1956,169,350,FWD,4655.0,1835.0,1760.0,5.0,60.0,5
Maruti Suzuki,295000,87230,Diesel,Manual,Hyderabad,Silver,First,Individual,1248,75,190,FWD,3760.0,1690.0,1530.0,5.0,43.0,14
Maruti Suzuki,495000,38258,Diesel,Manual,Varanasi,White,Second,Individual,1248,74,190,FWD,3840.0,1735.0,1530.0,5.0,37.0,8
Honda,975000,56881,Petrol,Manual,Lucknow,Silver,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,6
Renault,425000,72000,Diesel,Manual,Ludhiana,White,Second,Individual,1461,108,248,FWD,4315.0,1822.0,1695.0,5.0,50.0,11
Audi,1350000,72000,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,13
Mercedes-Benz,3200000,60514,Diesel,Automatic,Pune,Silver,First,Individual,2987,234,535,AWD,4781.0,1911.0,1774.0,5.0,95.0,11
Volvo,1250000,71141,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,1984,150,350,FWD,4370.0,1783.0,1458.0,5.0,60.0,12
BMW,5600000,40937,Diesel,Automatic,Chennai,White,First,Individual,2993,258,560,RWD,4899.0,2094.0,1464.0,5.0,65.0,7
Maruti Suzuki,560000,37000,Diesel,Manual,Salem,Gold,First,Individual,1248,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0,12
Mahindra,1221000,46000,Diesel,Manual,Patna,White,First,Individual,2179,120,280,RWD,4456.0,1820.0,1995.0,7.0,60.0,6
Honda,295000,70200,Petrol,Automatic,Mumbai,Grey,Second,Individual,1497,118,146,FWD,4420.0,1695.0,1480.0,5.0,42.0,16
Mercedes-Benz,1300000,64800,Petrol,Automatic,Delhi,Silver,First,Individual,1796,186,285,RWD,4596.0,1770.0,1447.0,5.0,66.0,13
Hyundai,950000,73000,Diesel,Automatic,Dehradun,Silver,First,Individual,1582,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0,9
